Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Inspecção válida até,Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Possibilidade de financiamento,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Filtro de partículas,IUC,IVA Discriminado,Sub-modelo,Clássico,ou até,Consumo Combinado,Gancho de Reboque,Autonomia,Bateria,Consumo,Valor sem ISV,Capacidade da bateria,Site,Portugal,Data
Profissional,Fiat,Panda,,Híbrido (Gasolina),Junho,2021,30 528 km,1 000 cm3,69 cv,,Utilitário,Branco,,Manual,,5,5,,,,,,,,,Sim,Sim,,,Usados,13 900        EUR,8090182790,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PwA7c.html,Sim,Sim,,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Smart,ForTwo Coupé,1.0 mhd Passion 71,Gasolina,Agosto,2013,91 206 km,999 cm3,71 cv,,Pequeno citadino,Branco,Metalizado,Automática,,3,2,Classe 1,Tracção dianteira,,99 g/km,,,Nacional,,Sim,Sim,,,Usados,9 350        EUR,8089353497,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-passion-71-ID8Ps6nw.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Janeiro,2015,61 565 km,999 cm3,71 cv,,Pequeno citadino,Branco,Metalizado,Manual,5,3,2,Classe 1,Tracção dianteira,,,,,Nacional,,Sim,Sim,,,Usados,10 550        EUR,8088438225,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pogh3.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Ford,B-Max,1.0 EcoBoost Titanium,Gasolina,Fevereiro,2017,84 200 km,998 cm3,100 cv,,Monovolume,Castanho,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,,,,Sim,,,Usados,14 290        EUR,8088429972,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-b-max-1-0-ecoboost-titanium-ID8Poe7V.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Citroën,C4 Cactus,,Diesel,Novembro,2014,135 641 km,1 560 cm3,92 cv,,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,92 g/km,,,Nacional,Sim,,Sim,,,Usados,13 890        EUR,8088677555,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-ID8Ppgxd.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,VW,Polo,1.2 TSi Lounge,Gasolina,Maio,2015,125 842 km,1 197 cm3,90 cv,,Citadino,Preto,,Manual,,5,5,,,,,,,,,,Sim,,,Usados,12 990        EUR,8088534452,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-2-tsi-lounge-ID8PoFj6.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Ford,KA,1.2 Titanium X,Gasolina,Julho,2015,121 749 km,1 242 cm3,69 cv,,Pequeno citadino,Vermelho,,Manual,5,3,4,Classe 1,Tracção dianteira,,,,,,,,Sim,,,Usados,8 690        EUR,8088772592,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-titanium-x-ID8PpFg4.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,SEAT,Ibiza,SC 1.2 TSi Style,Gasolina,Novembro,2013,110 702 km,1 197 cm3,105 cv,,Citadino,Branco,Metalizado,Manual,5,3,5,Classe 1,Tracção dianteira,,,,,,Sim,Sim,Sim,,,Usados,10 390        EUR,8088772573,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-tsi-style-ID8PpFfL.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2016,138 456 km,1 199 cm3,110 cv,,Utilitário,Branco,Pérola,Manual,5,3,5,Classe 1,Tracção dianteira,,99 g/km,,,Nacional,,Sim,Sim,,,Usados,13 690        EUR,8087935615,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Pm9vr.html,Sim,Sim,,18 Meses,,"108,32 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Opel,Corsa,1.2 Enjoy,Gasolina,Agosto,2010,153 699 km,1 229 cm3,85 cv,,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,Nacional,,Sim,Sim,,,Usados,8 590        EUR,8088327806,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-enjoy-ID8PnNy6.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,107,1.0 Black&Silver E5,Gasolina,Dezembro,2010,46 309 km,998 cm3,68 cv,,Pequeno citadino,Cinzento,,Manual,,5,4,,,,,,,Nacional,,Sim,Sim,,,Usados,7 750        EUR,8090690717,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-107-1-0-black-silver-e5-ID8PxIfz.html,Sim,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,Panda,,Gasolina,Setembro,2018,56 187 km,1 200 cm3,69 cv,,Utilitário,Branco,,Manual,,5,5,,,,,,,,,Sim,Sim,,,Usados,11 450        EUR,8090182745,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PwA6t.html,Sim,Sim,,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Opel,Mokka,,Diesel,Fevereiro,2014,171 263 km,1 700 cm3,130 cv,Sim,Utilitário,Azul,,Manual,,5,5,,,,,,,,,Sim,Sim,,,Usados,13 650        EUR,8090182682,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-mokka-ID8PwA5s.html,Sim,Sim,,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,208,,Gasolina,Maio,2018,59 176 km,1 200 cm3,82 cv,Sim,Utilitário,Branco,,Manual,,5,5,,,,,,,Nacional,,Sim,Sim,,,Usados,14 900        EUR,8090182619,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8PwA4r.html,Sim,Sim,,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Mégane Sport Tourer,,Diesel,Março,2015,172 780 km,1 461 cm3,110 cv,,Carrinha,Branco,Metalizado,Manual,,5,5,,,,,,,,,,,,,Usados,11 980        EUR,8090153975,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-ID8PwsCr.html,,Sim,,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Opel,Insignia Sports Tourer,,Diesel,Abril,2014,181 480 km,1 956 cm3,140 cv,,Carrinha,Cinzento,Metalizado,Manual,,5,5,,,,,,,,,,,,,Usados,12 860        EUR,8090153986,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PwsCC.html,,Sim,,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,Opel,Astra Sports Tourer,1.6 CDTI Dynamic S/S,Diesel,Dezembro,2016,106 037 km,1 598 cm3,110 cv,,Carrinha,Prateado,,Manual,6,5,5,Classe 1,,,,,,,,Sim,,"5,70 l/100km",,Usados,13 970        EUR,8088770058,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-s-s-ID8PpEBc.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Citroën,C3,1.6 BlueHDi Shine,Diesel,Fevereiro,2018,148 840 km,1 560 cm3,100 cv,Sim,Citadino,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,95 g/km,01/02/2024,,Importado,Sim,,Sim,"4,40 l/100km","3,20 l/100km",Usados,12 990        EUR,8090703899,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-shine-ID8PxLGb.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,BMW,116,d EfficientDynamics Edition Sport Line,Diesel,Setembro,2012,240 000 km,1 598 cm3,116 cv,,Utilitário,Branco,Metalizado,Manual,,5,,,,,,,,,,,,"4,40 l/100km",,Usados,12 250        EUR,8090611559,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-sport-line-ID8PxnEP.html,,,,,Sim,,,Série 1,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,BMW,520,d,Diesel,Maio,2011,229 000 km,1 995 cm3,184 cv,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,,,,,,Sim,Sim,Sim,,,Usados,14 900        EUR,8089839814,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-ID8Pu8Tk.html,Sim,Sim,,18 Meses,,,,Série 5,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,208,1.4 HDi Active,Diesel,Junho,2012,118 000 km,1 398 cm3,68 cv,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,98 g/km,14/06/2024,,Nacional,,Sim,Sim,"4,40 l/100km","3,40 l/100km",Usados,9 990        EUR,8090676165,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-active-ID8PxEsR.html,,,,18 Meses,,147 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Julho,2018,122 000 km,1 461 cm3,90 cv,,Carrinha,Vermelho,,Manual,5,5,5,Classe 1,,,,,1,,,Sim,Sim,,,Usados,13 500        EUR,8090660851,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PxAtR.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,Mitsubishi,Space Star,1.2 Intense,Gasolina,Agosto,2015,58 020 km,1 193 cm3,71 cv,Sim,Citadino,Branco,,Manual,,5,5,,,,,,,,Sim,,Sim,"5,30 l/100km",,Usados,9 990        EUR,8089102923,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-ID8Pr3bZ.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Skoda,Rapid Spaceback,1.6 TDi Elegance DSG,Diesel,Julho,2014,92 029 km,1 598 cm3,90 cv,Sim,Carrinha,Preto,Metalizado,Automática,,5,5,,,,,,,,,,,,,Usados,11 499        EUR,8090535982,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-rapid-spaceback-1-6-tdi-elegance-dsg-ID8Px3ZQ.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,SEAT,Leon ST,1.6 TDI Style Ecomotive,Diesel,Janeiro,2016,112 131 km,1 598 cm3,110 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,5,,,,,,,,,,,,,Usados,14 749        EUR,8090535979,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-ecomotive-ID8Px3ZN.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Setembro,2017,65 233 km,1 242 cm3,69 cv,,Utilitário,Cinzento,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,,99 g/km,,2,Nacional,Sim,Sim,Sim,"6,20 l/100km","4,20 l/100km",Usados,11 750        EUR,8090641987,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PxwzB.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,Ford,S-Max,,Diesel,Janeiro,2010,290 000 km,1 997 cm3,140 cv,,Monovolume,Preto,,Manual,6,5,7,,,,,,,,,Sim,Sim,,,Usados,9 990        EUR,8090617087,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-s-max-ID8Pxp5Z.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Volvo,V40,2.0 D3 Momentum,Diesel,Dezembro,2018,216 000 km,1 969 cm3,150 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,,134 g/km,,1,Nacional,Sim,Sim,,"5,70 l/100km",4 l/100km,Usados,14 990        EUR,8089554406,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-momentum-ID8PsVDY.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,BMW,120,d Coupe Limited Edition Lifestyle c/ M Sport Pack,Diesel,Janeiro,2010,226 000 km,1 995 cm3,177 cv,,Coupé,Cinzento,,Manual,6,2,4,,Tracção traseira,,124 g/km,,,Importado,,Sim,,"5,90 l/100km",4 l/100km,Usados,13 950        EUR,8090714153,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-120-d-coupe-limited-edition-lifestyle-c-m-sport-pack-ID8PxOlz.html,Sim,Sim,,18 Meses,Sim,,,Série 1,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,500,1.2 Pop,Gasolina,Fevereiro,2019,63 000 km,1 242 cm3,69 cv,Sim,Citadino,Cinzento,Metalizado,Manual,,3,4,Classe 1,,,,,1,,Sim,Sim,Sim,,,Usados,11 750        EUR,8090660720,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-pop-ID8PxArK.html,Sim,Sim,,18 Meses,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Alfa Romeo,Giulietta,1.6 JTDm Progression,Diesel,Julho,2014,115 000 km,1 598 cm3,105 cv,Sim,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,Nacional,Sim,Sim,Sim,,,Usados,13 250        EUR,8090714106,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulietta-1-6-jtdm-progression-ID8PxOkO.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Twingo,SCe 65 LIFE,Gasolina,Maio,2015,93 000 km,998 cm3,65 cv,Sim,Citadino,Branco,,Manual,5,5,4,Classe 1,Tracção traseira,,100 g/km,13/05/2024,,Importado,Sim,Sim,Sim,"5,30 l/100km","3,80 l/100km",Usados,8 450        EUR,8090585640,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-sce-65-life-ID8PxgUM.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Honda,Jazz,1.2 i-VTEC Trend J15,Gasolina,Novembro,2011,63 440 km,1 198 cm3,90 cv,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,123 g/km,,1,Nacional,Sim,Sim,Sim,"6,60 l/100km","4,60 l/100km",Usados,9 950        EUR,8090603963,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/honda-jazz-1-2-i-vtec-trend-j15-ID8PxlGj.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,208,1.4-hdi,Diesel,Novembro,2012,106 000 km,1 398 cm3,68 cv,,Citadino,Cinzento,Metalizado,Manual,,5,5,Classe 1,,,,,1,Nacional,,,Sim,,,Usados,10 750        EUR,8089009062,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-ID8PqEM6.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Citroën,DS3,1.6 THP Racing,Gasolina,Novembro,2012,134 845 km,1 598 cm3,202 cv,,Citadino,Branco,Metalizado,Manual,6,3,5,Classe 1,Tracção dianteira,,,,,Importado,Sim,Sim,Sim,"8,70 l/100km",,Usados,14 990        EUR,8089936599,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-thp-racing-ID8Puy4n.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Março,2018,71 625 km,999 cm3,75 cv,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,01/03/2024,1,Nacional,Sim,,Sim,6 l/100km,,Usados,12 500        EUR,8088140807,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8Pn0TZ.html,,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Opel,Astra,1.0 Dynamic S/S,Gasolina,Abril,2016,131 700 km,999 cm3,105 cv,,Citadino,Preto,,Manual,5,5,5,,,,,,,,,Sim,Sim,,,Usados,12 650        EUR,8090535963,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-0-dynamic-s-s-ID8Px3Zx.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Janeiro,2018,169 000 km,1 461 cm3,90 cv,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,,,,,,1,Nacional,Sim,Sim,Sim,"4,30 l/100km",,Usados,10 950        EUR,8089930195,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8Puvp5.html,Sim,Sim,,18 Meses,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Fevereiro,2018,188 000 km,1 598 cm3,115 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,,1,Nacional,Sim,Sim,Sim,,,Usados,13 900        EUR,8090713969,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PxOiB.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Mégane Break,,Diesel,Agosto,2013,219 264 km,1 461 cm3,110 cv,,Carrinha,Preto,,Manual,6,5,5,Classe 1,Tracção dianteira,,,19/01/2013,2,Importado,Sim,Sim,Sim,,,Usados,8 990        EUR,8090660555,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-break-ID8PxAp5.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,308 SW,,Diesel,Dezembro,2015,192 000 km,1 560 cm3,120 cv,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,82 g/km,,2,,,Sim,Sim,"4,40 l/100km","3,20 l/100km",Usados,11 750        EUR,8090534414,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-ID8Px3Ay.html,Sim,Sim,,18 Meses,,,,,,,"3,70 l/100km",,,,,,,StandVirtual,Yes,2023-09-28
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Maio,2019,35 731 km,999 cm3,80 cv,Sim,Utilitário,Cinzento,,Manual,,5,5,,,,,,1,Nacional,,,,,,Usados,14 900        EUR,8090535833,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8Px3Xr.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,500C,0.9 8V TwinAir by Gucci,Gasolina,Outubro,2011,108 000 km,875 cm3,85 cv,,Cabrio,Preto,,Manual,,2,4,,Tracção dianteira,,95 g/km,,1,,,Sim,Sim,"4,70 l/100km",,Usados,13 750        EUR,8089125657,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-8v-twinair-by-gucci-ID8Pr96F.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Abril,2017,90 138 km,898 cm3,90 cv,Sim,Citadino,Preto,Metalizado,Manual,,5,5,,,,,,,,,,,,,Usados,11 949        EUR,8090604121,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PxlIR.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,SEAT,Ibiza ST,1.0 Reference,Gasolina,Fevereiro,2016,117 000 km,999 cm3,75 cv,Sim,Carrinha,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,110 g/km,28/02/2024,1,Nacional,,Sim,Sim,"5,90 l/100km","4,30 l/100km",Usados,10 500        EUR,8089555312,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-0-reference-ID8PsVSA.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,508 SW,1.6 BlueHDi Ac.P.B.J17 EAT6,Diesel,Junho,2012,150 000 km,1 560 cm3,120 cv,Sim,Carrinha,Preto,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,,,1,Importado,,Sim,Sim,"4,70 l/100km",,Usados,11 990        EUR,8086667143,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-ac-p-b-j17-eat6-ID8PgPxd.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Dacia,Duster,1.2 TCe SL Best Choice,Gasolina,Outubro,2016,115 000 km,1 197 cm3,125 cv,Sim,SUV / TT,Preto,,Manual,,5,5,,,,,,,Nacional,,,,,,Usados,14 990        EUR,8090492735,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-2-tce-sl-best-choice-ID8PvSKj.html,,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Twingo,1.5 dCi Dynamique S,Diesel,Setembro,2011,150 100 km,1 461 cm3,85 cv,,Utilitário,Branco,Metalizado,Manual,5,3,4,Classe 1,,,,,,,,,Sim,,,Usados,7 400        EUR,8089491098,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-5-dci-dynamique-s-ID8PsGaS.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,Mercedes-Benz,CLA 220,d Shooting Brake Aut.,Diesel,Fevereiro,2016,243 500 km,2 143 cm3,177 cv,,Carrinha,Preto,,Automática,,5,5,Classe 1,,,,,,,,,,"6,30 l/100km",,Usados,17 750        EUR,8089695339,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-220-d-shooting-brake-aut-ID8Ptxj5.html,,,,,,,,Classe CLA,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line,Diesel,Março,2016,140 000 km,1 461 cm3,109 cv,,Carrinha,Cinzento,Mate,Manual,6,5,5,Classe 1,Tracção dianteira,,104 g/km,,1,Nacional,Sim,Sim,Sim,"4,60 l/100km","3,70 l/100km",Usados,21 950        EUR,8090715387,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-amg-line-ID8PxOFt.html,,,,,,,,Classe CLA,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge Tech J17,Diesel,Maio,2019,89 000 km,1 248 cm3,95 cv,,Carrinha,Cinzento,Metalizado,Manual,,5,5,,,,,,,Nacional,Sim,Sim,Sim,,,Usados,15 750        EUR,8088496449,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-tech-j17-ID8Powq9.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,BMW,520,d Auto,Diesel,Fevereiro,2018,198 000 km,1 995 cm3,190 cv,Sim,Carrinha,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,,134 g/km,13/02/2024,1,Nacional,Sim,Sim,Sim,,,Usados,25 990        EUR,8090440968,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8PvFhm.html,,,,18 Meses,,,Sim,Série 5,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Mercedes-Benz,CLA 180,d AMG Line Aut.,Diesel,Fevereiro,2018,141 230 km,1 461 cm3,109 cv,,Sedan,Preto,Metalizado,Automática,7,4,5,Classe 1,Tracção dianteira,,110 g/km,,,,Sim,Sim,,"4,80 l/100km","3,90 l/100km",Usados,25 990        EUR,8090410756,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-amg-line-aut-ID8Pvxq4.html,Sim,,,18 Meses,,,,Classe CLA,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,5008,BlueHDI 130 EAT8 Active,Diesel,Agosto,2020,121 821 km,1 499 cm3,130 cv,Sim,Monovolume,Preto,Metalizado,Automática,,5,7,,,,107 g/km,,,Importado,,Sim,,,,Usados,24 900        EUR,8090604324,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-bluehdi-130-eat8-active-ID8PxlM8.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Audi,Q3,2.0 TDI Sport,Diesel,Março,2015,102 847 km,1 968 cm3,150 cv,Sim,Utilitário,Prateado,,Manual,6,5,5,Classe 1,,,,,1,Nacional,,,Sim,,,Usados,25 750        EUR,8090411873,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-q3-2-0-tdi-sport-ID8PvxI5.html,Sim,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Hyundai,Kauai,1.0 T-GDi Premium,Gasolina,Dezembro,2018,17 500 km,998 cm3,120 cv,Sim,SUV / TT,Vermelho,,Manual,6,5,5,Classe 1,,,,,,Nacional,,,Sim,,,Usados,19 750        EUR,8090411870,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-kauai-1-0-t-gdi-premium-ID8PvxI2.html,Sim,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
