Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Aceita retoma,2º Chave,IUC,Consumo Combinado,Inspecção válida até,Sub-modelo,Autonomia Máxima,Autonomia,Bateria,ou até,Garantia de Fábrica até,Clássico,Consumo,Gancho de Reboque,Capacidade da bateria,Valor sem ISV,Site,Portugal,Data
Particular,Audi,A3 Limousine,1.6 TDI,Diesel,Abril,2016,163 000 km,1 598 cm3,110 cv,,,,Sedan,Preto,Manual,6,4,5,,Tracção dianteira,98 g/km,,,,,,Usados,14 500        EUR,8090691151,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-limousine-1-6-tdi-ID8PxImz.html,,"4,20 l/100km","3,50 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,Panda,1.2 Easy S&S,Gasolina,Setembro,2019,59 900 km,1 242 cm3,69 cv,,,Sim,Citadino,Branco,Manual,5,5,,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,Usados,11 500        EUR,8089997093,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-easy-s-s-ID8PuNO5.html,,"6,60 l/100km",,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Smart,ForTwo Coupé,1.0 T Passion 84,Gasolina,Setembro,2012,78 000 km,999 cm3,84 cv,,,Sim,Cabrio,Cinzento,Automática,5,2,2,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,Usados,9 500        EUR,8090363305,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-t-passion-84-ID8Pvl4J.html,,"6,20 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Setembro,2014,122 000 km,1 461 cm3,110 cv,Sim,,Sim,SUV / TT,Prateado,Manual,,5,5,,,,18 Meses,,,,,Usados,12 990        EUR,8090617763,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-premium-ID8PxpgT.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,BMW,120,d Sport Line,Diesel,Fevereiro,2015,305 000 km,1 995 cm3,184 cv,,,,Sedan,Preto,Manual,6,5,5,Classe 1,Tracção traseira,,,2,Nacional,,Sim,Usados,14 990        EUR,8089075760,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-120-d-sport-line-ID8PqV7S.html,Metalizado,,,,,Sim,,,20/03/2024,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane Coupe,1.6 dCi Bose Edition SS,Diesel,Dezembro,2014,176 000 km,1 598 cm3,130 cv,,,Sim,Coupé,Cinzento,Manual,6,2,5,Classe 1,Tracção dianteira,,18 Meses,,,Sim,Sim,Usados,13 499        EUR,8089895011,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-6-dci-bose-edition-ss-ID8PunfB.html,Metalizado,"4,80 l/100km",,Sim,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,Cooper,D,Diesel,Outubro,2013,162 000 km,1 560 cm3,110 cv,Sim,,Sim,Utilitário,Azul,Manual,6,3,4,Classe 1,,,18 Meses,,Importado,,,Usados,12 450        EUR,8090617749,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PxpgF.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Junho,2018,225 925 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,13 490        EUR,8087962873,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PmgC5.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Passat Variant,1.6 TDI Trendline,Diesel,Maio,2015,218 401 km,1 598 cm3,120 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,12 690        EUR,8088034713,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-trendline-ID8PmziN.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Insignia Grand Sport,1.6 CDTi Business Edition,Diesel,Junho,2018,232 964 km,1 598 cm3,110 cv,Sim,Sim,Sim,Sedan,Cinzento,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,13 790        EUR,8088542473,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-grand-sport-1-6-cdti-business-edition-ID8PoHot.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,169 775 km,1 248 cm3,95 cv,Sim,Sim,Sim,Utilitário,Azul,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,12 990        EUR,8088542299,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PoHlF.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Twingo,1.0 SCe Night&Day,Gasolina,Fevereiro,2015,61 000 km,999 cm3,70 cv,Sim,,Sim,Pequeno citadino,Branco,Manual,5,5,4,Classe 1,Tracção traseira,,18 Meses,1,Nacional,Sim,Sim,Usados,10 000        EUR,8088887299,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-night-day-ID8Pq96b.html,Metalizado,5 l/100km,,,Sim,Sim,,,28/02/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Dezembro,2018,153 751 km,1 499 cm3,102 cv,Sim,Sim,Sim,Utilitário,Azul,Manual,,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,Usados,14 900        EUR,8089160703,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PridW.html,Metalizado,"3,90 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Live,Diesel,Julho,2018,168 000 km,1 560 cm3,100 cv,,,Sim,SUV / TT,Vermelho,Manual,5,5,5,Classe 1,Tracção dianteira,94 g/km,18 Meses,1,Importado,Sim,,Usados,14 950        EUR,8090229557,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-live-ID8PwMhw.html,Metalizado,"4,20 l/100km","3,30 l/100km",,Sim,Sim,,,17/07/2024,,,,,20 000 km,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Laguna Break,1.5 dCi Dynamique S,Diesel,Novembro,2011,183 000 km,1 461 cm3,110 cv,Sim,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,2,Nacional,,Sim,Usados,9 500        EUR,8090193446,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-laguna-break-1-5-dci-dynamique-s-ID8PwCT4.html,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,3008,1.6 HDi Sport CMP6,Diesel,Fevereiro,2010,277 500 km,1 560 cm3,110 cv,,,,SUV / TT,Dourado,Automática,6,5,5,Classe 1,Tracção dianteira,130 g/km,18 Meses,1,Nacional,,Sim,Usados,7 750        EUR,8089374895,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-hdi-sport-cmp6-ID8PsbVD.html,Metalizado,"5,90 l/100km",,,Sim,,,,26/02/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Mercedes-Benz,A 160,d Fleet Pack Urban,Diesel,Outubro,2016,99 368 km,1 461 cm3,90 cv,,,,Utilitário,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,102 g/km,,,,Sim,Sim,Usados,13 500        EUR,8090611350,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-d-fleet-pack-urban-ID8PxnBs.html,Metalizado,"4,50 l/100km","3,30 l/100km",Sim,,Sim,,,,Classe A,,,,,,Sim,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Setembro,2019,118 200 km,1 461 cm3,90 cv,Sim,Sim,Sim,Utilitário,Cinzento,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,12 690        EUR,8090617879,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PxpiL.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Clio,1.5 dCi Dynamique S,Diesel,Janeiro,2014,175 396 km,1 461 cm3,90 cv,,,,Citadino,Vermelho,Manual,5,5,5,Classe 1,Tracção dianteira,82 g/km,18 Meses,,,,Sim,Usados,10 450        EUR,8090479655,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-ID8PvPll.html,Metalizado,"3,30 l/100km","3,10 l/100km",,,Sim,155 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Smart,ForFour,,Eléctrico,Março,2019,19 500 km,,82 cv,,,Sim,Utilitário,Castanho,Automática,,5,,Classe 1,Tracção traseira,,,,,Sim,,Usados,14 500        EUR,8090640427,23 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-ID8Pxwar.html,Metalizado,,,,Sim,Sim,,,,,155 km,155 km,Própria,,,,16 kWh/100km,,,,StandVirtual,Yes,2023-09-25
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Maio,2019,50 890 km,999 cm3,100 cv,,,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,14 950        EUR,8089440580,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-acenta-ID8Pst24.html,Metalizado,"5,60 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Dacia,Logan MCV,1.5 dCi Comfort,Diesel,Setembro,2016,71 000 km,1 461 cm3,90 cv,,,,Carrinha,Prateado,Manual,5,5,5,Classe 1,Tracção dianteira,90 g/km,18 Meses,1,Nacional,Sim,,Usados,12 480        EUR,8090604693,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-1-5-dci-comfort-ID8PxlS5.html,Metalizado,"3,70 l/100km","3,40 l/100km",,,Sim,,,15/09/2025,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Março,2020,68 000 km,998 cm3,72 cv,Sim,,Sim,Citadino,Cinzento,Manual,5,5,4,Classe 1,,110 g/km,18 Meses,1,,Sim,Sim,Usados,11 900        EUR,8090583908,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PxgsQ.html,Metalizado,"4,90 l/100km","3,60 l/100km",,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Meriva,1.4 T S/S 124g,Gasolina,Maio,2016,80 000 km,1 364 cm3,120 cv,,,Sim,Monovolume,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Importado,,Sim,Usados,11 500        EUR,8088636766,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-meriva-1-4-t-s-s-124g-ID8Pp5Wk.html,Mate,"6,80 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Up!,1.0 BMT Move,Gasolina,Junho,2017,64 000 km,999 cm3,75 cv,,,Sim,Pequeno citadino,Branco,Manual,5,5,4,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,,Usados,11 500        EUR,8088774104,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bmt-move-ID8PpFEs.html,Mate,"4,90 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,500,1.3 16V MJ S S&S,Diesel,Janeiro,2017,88 000 km,1 248 cm3,95 cv,,,Sim,Pequeno citadino,Cinzento,Manual,5,3,4,Classe 1,Tracção dianteira,,18 Meses,1,,,Sim,Usados,12 950        EUR,8087067952,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-3-16v-mj-s-s-s-ID8PiwNS.html,Mate,"4,70 l/100km",,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,500C,1.3 16V Multijet Pop,Diesel,Junho,2010,184 646 km,1 248 cm3,75 cv,,,Sim,Cabrio,Branco,Manual,,2,4,,,,18 Meses,,,,Sim,Usados,8 499        EUR,8089196616,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-3-16v-multijet-pop-ID8Prrza.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,508,1.6 HDi-e Allure 2-Tronic,Diesel,Janeiro,2013,218 000 km,1 560 cm3,115 cv,Sim,,Sim,Carrinha,Preto,Automática,,4,5,Classe 1,,,18 Meses,,Importado,,Sim,Usados,9 950        EUR,8090297344,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-1-6-hdi-e-allure-2-tronic-ID8Pv3UQ.html,Metalizado,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Ford,Focus SW,1.6 TDCi Titanium,Diesel,Dezembro,2010,232 440 km,1 560 cm3,109 cv,Sim,,,Carrinha,Preto,Manual,,5,5,,,,18 Meses,,,,,Usados,5 750        EUR,8088887240,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-6-tdci-titanium-ID8Pq95e.html,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,206+,1.1 Trendy,Gasolina,Fevereiro,2010,205 413 km,1 124 cm3,60 cv,,,Sim,Citadino,Cinzento,Manual,5,5,5,,,,18 Meses,1,Nacional,,,Usados,5 999        EUR,8089719700,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-206-1-1-trendy-ID8PtDE0.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,208,1.5 BlueHDi Signature,Diesel,Março,2019,115 194 km,1 499 cm3,102 cv,Sim,Sim,Sim,Citadino,Azul,Manual,6,5,5,Classe 1,,119 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,11 990        EUR,8087357478,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-signature-ID8PjJ7E.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,308 SW,1.6 BlueHDi Access,Diesel,Abril,2018,152 214 km,1 560 cm3,100 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,13 490        EUR,8088242976,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-access-ID8PnrtS.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,Punto Evo,1.3 M-Jet Sport,Diesel,Junho,2010,179 000 km,1 248 cm3,95 cv,Sim,,Sim,Utilitário,Azul,Manual,,3,5,Classe 1,,,18 Meses,,,,,Usados,6 990        EUR,8090617536,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-evo-1-3-m-jet-sport-ID8Pxpde.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Nissan,Qashqai,1.5 dCi Tekna 19 Pele,Diesel,Julho,2016,197 784 km,1 461 cm3,110 cv,,,,SUV / TT,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,103 g/km,18 Meses,,,,,Usados,14 999        EUR,8090610805,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-tekna-19-pele-ID8PxnsF.html,Pérola,"4,30 l/100km","3,90 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Adam,1.2 Glam,Gasolina,Maio,2018,42 000 km,1 229 cm3,70 cv,,,Sim,Citadino,Branco,Manual,5,3,1,Classe 1,Tracção dianteira,125 g/km,18 Meses,1,,Sim,Sim,Usados,13 750        EUR,8089983891,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-adam-1-2-glam-ID8PuKn9.html,Metalizado,"7,40 l/100km",,,Sim,Sim,142 €,,30/05/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line SS,Diesel,Março,2014,182 116 km,1 461 cm3,110 cv,,,Sim,Utilitário,Azul,Manual,6,5,,,Tracção dianteira,93 g/km,18 Meses,,,Sim,,Usados,12 990        EUR,8090596662,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ss-ID8PxjMy.html,,"3,90 l/100km","3,40 l/100km",Sim,Sim,Sim,,,06/03/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,308 SW,1.2 PureTech Business Line,Gasolina,Outubro,2015,157 000 km,1 199 cm3,110 cv,Sim,,Sim,Carrinha,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Importado,Sim,Sim,Usados,9 990        EUR,8088209066,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-2-puretech-business-line-ID8PniEV.html,,,,,Sim,Sim,,,31/10/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,SEAT,Leon ST,1.6 TDI Style Ecomotive,Diesel,Maio,2016,182 000 km,1 598 cm3,110 cv,Sim,,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,,Sim,Usados,12 900        EUR,8090645908,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-ecomotive-ID8PxvAQ.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Março,2015,132 397 km,1 199 cm3,110 cv,,,Sim,SUV / TT,Branco,Manual,5,5,5,,,,18 Meses,1,Nacional,,,Usados,13 399        EUR,8089911781,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8PurC5.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,137 987 km,1 248 cm3,95 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,12 990        EUR,8087962519,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8Pmgvn.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Ford,Focus SW,1.5 TDCi EcoBlue Titanium,Diesel,Setembro,2019,183 706 km,1 499 cm3,120 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,,5,5,,Tracção dianteira,112 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,14 490        EUR,8089583482,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-ecoblue-titanium-ID8Pt4cV.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,DS5,2.0 HDi Hybrid4 Sport Chic CMP6,Híbrido (Diesel),Outubro,2012,181 569 km,1 997 cm3,200 cv,Sim,,Sim,Sedan,Branco,Automática,,5,5,Classe 1,,,18 Meses,1,Importado,Sim,Sim,Usados,14 900        EUR,8090518344,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds5-2-0-hdi-hybrid4-sport-chic-cmp6-ID8PvZpm.html,Pérola,"4,20 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Nissan,Qashqai,1.6 dCi Tekna Premium,Diesel,Agosto,2013,183 000 km,1 598 cm3,130 cv,Sim,,Sim,SUV / TT,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,,36 Meses,,Nacional,Sim,,Usados,12 999        EUR,8090691209,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-6-dci-tekna-premium-ID8PxInw.html,,,,,,,,,,,,,,,01/01/0001,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Smart,ForTwo Coupé,twinamic passion,Gasolina,Dezembro,2015,83 934 km,999 cm3,71 cv,,,Sim,Pequeno citadino,Azul,Automática,,2,2,Classe 1,,,18 Meses,,Importado,,Sim,Usados,11 999        EUR,8090517284,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-twinamic-passion-ID8PvZ8g.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Smart,ForTwo Coupé,twinamic passion,Gasolina,Fevereiro,2012,180 900 km,999 cm3,71 cv,,,Sim,Pequeno citadino,Branco,Automática,,2,2,Classe 1,,,18 Meses,,Importado,,Sim,Usados,6 999        EUR,8090517283,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-twinamic-passion-ID8PvZ8f.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Peugeot,508 SW,,Diesel,Fevereiro,2016,201 000 km,1 560 cm3,120 cv,,,,Carrinha,Azul,Automática,,5,5,,,,,,Nacional,,Sim,Usados,9 850        EUR,8089799741,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-ID8PtYsZ.html,Metalizado,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Clio,1.5 dCi Dynamique S,Diesel,Julho,2015,139 131 km,1 461 cm3,90 cv,,,Sim,Citadino,Cinzento,Manual,,5,5,Classe 1,,,18 Meses,,Importado,,Sim,Usados,10 999        EUR,8090348737,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-ID8PvhhL.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,508 SW,1.6 BlueHDi Allure,Diesel,Dezembro,2015,228 000 km,1 560 cm3,120 cv,,,,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,100 g/km,18 Meses,,Nacional,,Sim,Usados,14 990        EUR,8090691199,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-allure-ID8PxInl.html,Metalizado,"4,70 l/100km","3,50 l/100km",,,Sim,147 €,,15/12/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mitsubishi,Space Star,1.2 Intense Connect Edition,Gasolina,Junho,2016,79 000 km,1 193 cm3,80 cv,Sim,,Sim,Pequeno citadino,Preto,Manual,,5,5,Classe 1,,,18 Meses,2,Nacional,,Sim,Usados,10 990        EUR,8090691197,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-connect-edition-ID8PxInj.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Ford,Fiesta,1.25 Titanium,Gasolina,Abril,2010,142 000 km,1 242 cm3,82 cv,,,,Citadino,Azul,Manual,5,5,5,,Tracção dianteira,129 g/km,,,,,,Usados,6 350        EUR,8090691191,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-25-titanium-ID8PxInd.html,,"7,50 l/100km","4,60 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 180 Limousine,d Progressive Aut.,Diesel,Outubro,2019,115 177 km,1 461 cm3,116 cv,Sim,Sim,Sim,Sedan,Cinzento,Automática,7,4,5,Classe 1,Tracção dianteira,124 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,27 990        EUR,8090064827,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-limousine-d-progressive-aut-ID8Pw5qz.html,Metalizado,"4,40 l/100km","3,80 l/100km",,Sim,Sim,"156,21 €",,10/10/2025,Classe A,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,418 Gran Coupé,d Pack M,Diesel,Janeiro,2016,118 000 km,1 995 cm3,150 cv,,,Sim,Sedan,Preto,Manual,6,5,5,,Tracção traseira,,24 Meses,1,Nacional,Sim,,Usados,24 900        EUR,8090525289,23 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-418-gran-coup-d-pack-m-ID8Px1dn.html,Metalizado,"5,40 l/100km",,,,Sim,,,01/09/2024,Série 4,,,,250 000 km,01/09/2025,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 200,d AMG Line Aut.,Diesel,Maio,2017,113 500 km,2 143 cm3,136 cv,Sim,,Sim,Utilitário,Cinzento,Automática,7,5,5,Classe 1,Tracção dianteira,105 g/km,18 Meses,,Nacional,Sim,Sim,Usados,25 500        EUR,8089851701,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-200-d-amg-line-aut-ID8PubZ3.html,Metalizado,"5,20 l/100km","3,40 l/100km",Sim,Sim,Sim,,,,Classe A,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Setembro,2019,39 000 km,898 cm3,90 cv,,,Sim,SUV / TT,Azul,Manual,,5,5,Classe 1,,,36 Meses,,Nacional,,Sim,Usados,18 750        EUR,8090389718,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PvrVK.html,,,,,Sim,,,,,,,,,,01/01/0001,,,,,,StandVirtual,Yes,2023-09-25
Particular,BMW,116,d Advantage,Diesel,Outubro,2017,98 000 km,1 496 cm3,116 cv,,,,Utilitário,Preto,Manual,6,5,,,Tracção traseira,,,,,Sim,Sim,Usados,17 950        EUR,8088128448,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-advantage-ID8PmXGE.html,Metalizado,,,,,Sim,,,,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-25
