Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Tracção,IUC,Filtro de partículas,Consumo Urbano,Emissões CO2,Registo(s),IVA Discriminado,Autonomia Máxima,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,Sub-modelo,Gancho de Reboque,Clássico,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,Citroën,C3,Gasolina,Novembro,2010,85 000 km,1 124 cm3,61 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,Usados,6 990        EUR,8090607640,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-1-sx-pack-airdream-ID8PxmDC.html,1.1 SX Pack Airdream,Sim,Tracção dianteira,,,"7,60 l/100km",,2,,,,28/11/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,308,Diesel,Agosto,2015,127 800 km,1 560 cm3,120 cv,Sim,Sim,Citadino,Vermelho,,Manual,,5,5,,18 Meses,,,,,Usados,14 900        EUR,8090527584,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-access-ID8Px1Oo.html,1.6 BlueHDi Access,,,,,,,,,,,01/08/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,C4,Diesel,Agosto,2016,147 000 km,1 560 cm3,120 cv,,,Cabrio,Cinzento,,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 900        EUR,8090069925,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-6-bluehdi-shine-ID8Pw6KN.html,1.6 BlueHDi Shine,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,BMW,118,Diesel,Novembro,2011,145 000 km,1 995 cm3,143 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,14 990        EUR,8090193364,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-line-sport-ID8PwCRK.html,d Line Sport,Sim,Tracção traseira,250 €,Sim,"5,30 l/100km",109 g/km,1,,,"3,90 l/100km",,,Série 1,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,BMW,318,Diesel,Novembro,2013,288 000 km,1 995 cm3,143 cv,,,Carrinha,Preto,,Manual,6,5,5,Classe 1,18 Meses,,,Sim,,Usados,14 990        EUR,8090210045,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-xdrive-ID8PwHcN.html,d Touring xDrive,,Integral,250 €,Sim,6 l/100km,128 g/km,,,,"4,30 l/100km",,,Série 3,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio Sport Tourer,Gasolina,Junho,2018,70 615 km,898 cm3,90 cv,,Sim,Carrinha,Branco,,Manual,5,5,5,,18 Meses,Nacional,,,Sim,Usados,14 300        EUR,8090111563,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-ID8PwhAn.html,0.9 TCe Limited,,,"108,32 €",,,105 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Ford,Focus SW,Diesel,Dezembro,2016,123 340 km,1 499 cm3,120 cv,,,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,Usados,14 850        EUR,8090607665,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PxmE1.html,1.5 TDCi Titanium,,Tracção dianteira,,,"4,30 l/100km",99 g/km,1,,,"3,40 l/100km",30/12/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,BMW,318,Diesel,Novembro,2014,257 000 km,1 995 cm3,143 cv,Sim,Sim,Carrinha,Preto,,Manual,,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,14 990        EUR,8090045781,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-line-sport-ID8Pw0tn.html,d Touring Line Sport,Sim,,,,,,,,,,,,Série 3,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,2008,Diesel,Agosto,2013,134 098 km,1 560 cm3,92 cv,Sim,Sim,Utilitário,Branco,,Manual,5,5,5,Classe 1,18 Meses,Nacional,,,Sim,Usados,13 970        EUR,8090473642,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-e-hdi-active-ID8PvNMm.html,1.6 e-HDi Active,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,308 SW,Diesel,Julho,2015,170 000 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Branco,,Manual,6,5,,,18 Meses,,,,,Usados,13 900        EUR,8090607653,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PxmDP.html,1.6 BlueHDi Allure,,Tracção dianteira,,,"4,70 l/100km",102 g/km,,,,"3,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,C1,Gasolina,Janeiro,2012,145 000 km,998 cm3,68 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Automática,,5,4,,18 Meses,,Sim,Sim,Sim,Usados,7 900        EUR,8090607637,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-sx-airdream-cmp5-ID8PxmDz.html,1.0 SX Airdream CMP5,,,,,,,,,,,01/01/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,500C,Gasolina,Janeiro,2013,95 000 km,875 cm3,85 cv,,Sim,Cabrio,Branco,Pérola,Manual,5,2,4,Classe 1,18 Meses,Importado,Sim,Sim,Sim,Usados,10 500        EUR,8089786012,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-8v-twinair-lounge-s-s-ID8PtUTy.html,0.9 8V TwinAir Lounge S&S,Sim,Tracção dianteira,,,"4,70 l/100km",92 g/km,1,,,"3,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,SEAT,Leon,Diesel,Junho,2015,161 450 km,1 598 cm3,110 cv,,,Sedan,Cinzento,,Manual,,5,5,,18 Meses,Nacional,,,,Usados,11 990        EUR,8090096028,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-ecomotive-ID8PwdxO.html,1.6 TDI Style Ecomotive,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Nissan,Qashqai,Diesel,Novembro,2015,188 867 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,14 490        EUR,8090228957,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-360-ID8PwM7P.html,1.5 dCi 360,,Tracção dianteira,,,"4,20 l/100km",99 g/km,1,,,"3,60 l/100km",23/11/2024,"3,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,500,Gasolina,Junho,2019,60 000 km,1 242 cm3,69 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,3,4,,18 Meses,Nacional,Sim,Sim,Sim,Usados,12 490        EUR,8088336917,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PnPW3.html,1.2 Lounge S&S,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Diesel,Novembro,2020,153 451 km,1 461 cm3,85 cv,,Sim,Citadino,Cinzento,,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,,Usados,14 990        EUR,8088897778,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-intens-ID8PqbPc.html,1.5 Blue dCi Intens,Sim,Tracção dianteira,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,Tipo Station Wagon,Gasolina,Janeiro,2019,35 000 km,1 368 cm3,95 cv,,,Carrinha,Branco,,Manual,6,5,5,,18 Meses,Nacional,Sim,,Sim,Usados,11 990        EUR,8090596640,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-4-pop-ID8PxjMc.html,1.4 Pop,,Tracção dianteira,,,"7,80 l/100km",159 g/km,,,,"5,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Nissan,Note,Diesel,Julho,2015,93 490 km,1 461 cm3,90 cv,,,Citadino,Cinzento,Metalizado,Manual,,5,5,,,,,,,Usados,9 290        EUR,8090495350,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-note-1-5-dci-acenta-connect-ID8PvTqu.html,1.5 dCi Acenta Connect,,,,,"4,20 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Alfa Romeo,MiTo,Diesel,Abril,2018,106 288 km,1 248 cm3,95 cv,Sim,Sim,Utilitário,Vermelho,,Manual,,3,4,,18 Meses,Nacional,Sim,,Sim,Usados,13 900        EUR,8088911221,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-urban-ID8Pqfk1.html,1.3 JTDM Urban,,,"113,34 €",Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,BMW,116,Diesel,Dezembro,2014,160 000 km,1 598 cm3,116 cv,Sim,Sim,Citadino,Azul,Metalizado,Manual,6,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,13 900        EUR,8090607615,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-ID8PxmDd.html,d EfficientDynamics,,,,,,,,,,,01/12/2023,,Série 1,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,BMW,X1,Diesel,Julho,2010,185 000 km,1 995 cm3,143 cv,,,SUV / TT,Preto,Metalizado,Manual,6,5,5,Classe 1,,Nacional,Sim,Sim,,Usados,13 400        EUR,8090607502,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-18-d-sdrive-ID8PxmBo.html,18 d sDrive,,Tracção traseira,,Sim,"5,70 l/100km",128 g/km,,,,"4,40 l/100km",01/06/2024,,Série X,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Ford,S-Max,Diesel,Outubro,2013,325 000 km,1 997 cm3,140 cv,,,Monovolume,Preto,Metalizado,Manual,6,5,7,Classe 1,,Nacional,Sim,Sim,Sim,Usados,10 800        EUR,8089829863,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-s-max-2-0-tdci-titanium-busine-7l-ID8Pu6iP.html,2.0 TDCi Titanium Busine.7L,,Tracção dianteira,,,"6,50 l/100km",139 g/km,1,,,"4,70 l/100km",31/10/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Nissan,Leaf,Eléctrico,Fevereiro,2017,161 000 km,,109 cv,Sim,Sim,Utilitário,Branco,,Automática,,5,5,,18 Meses,Nacional,,,,Usados,11 699        EUR,8088516149,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-leaf-acenta-limited-edition-flex-ID8PoAxT.html,Acenta Limited Edition Flex,,Tracção dianteira,,,,,,,,,01/02/2025,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio Sport Tourer,Gasolina,Março,2017,93 241 km,898 cm3,90 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,Sim,Usados,11 899        EUR,8090607632,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-ID8PxmDu.html,0.9 TCe Limited,,,,,"5,50 l/100km",,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Diesel,Julho,2018,136 710 km,1 461 cm3,90 cv,,,Citadino,Cinzento,,Manual,5,5,5,Classe 1,18 Meses,Nacional,Sim,,Sim,Usados,13 950        EUR,8090407897,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-edition-ID8PvvFX.html,1.5 dCi Limited EDition,,Tracção dianteira,,,"3,30 l/100km",82 g/km,1,,,"3,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Smart,ForTwo Coupé,Eléctrico,Outubro,2017,34 000 km,,82 cv,Sim,Sim,Cabrio,Azul,,Automática,,2,,,18 Meses,,,,,Usados,14 480        EUR,8087799920,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8PlAdO.html,,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Diesel,Novembro,2015,159 000 km,1 461 cm3,90 cv,Sim,Sim,Citadino,Preto,,Manual,5,5,,,18 Meses,,,,,Usados,12 900        EUR,8090607639,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8PxmDB.html,1.5 dCi Limited,,Tracção dianteira,,,"4,30 l/100km",127 g/km,,,,"3,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Polo,Diesel,Setembro,2011,159 000 km,1 199 cm3,75 cv,,,Citadino,Azul,,Manual,5,5,,,36 Meses,,,,,Usados,9 950        EUR,8090607636,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-2-tdi-bluemotion-ID8PxmDy.html,1.2 TDi BlueMotion,,Tracção dianteira,,,"4,10 l/100km",89 g/km,,,,3 l/100km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,500,Gasolina,Dezembro,2019,29 500 km,1 242 cm3,69 cv,Sim,Sim,Citadino,Azul,,Manual,,3,4,,18 Meses,Nacional,,,Sim,Usados,14 900        EUR,8090607600,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxmCY.html,1.2 Lounge,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Mitsubishi,Space Star,Gasolina,Agosto,2018,66 000 km,999 cm3,71 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Sim,Usados,9 990        EUR,8090539881,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-ID8Px50J.html,,,Tracção dianteira,,,,116 g/km,,,,,01/08/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Passat Variant,Diesel,Agosto,2013,199 673 km,1 968 cm3,140 cv,Sim,Sim,Carrinha,Preto,,Manual,6,5,5,Classe 1,18 Meses,Importado,,,,Usados,13 990        EUR,8089904117,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-highline-navig-ID8PupCt.html,2.0 TDi Highline Navig,Sim,Tracção dianteira,,,"5,60 l/100km",,,,,4 l/100km,19/08/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Dacia,Duster,GPL,Novembro,2020,97 000 km,999 cm3,101 cv,,,SUV / TT,Branco,,Manual,5,5,5,,,,,Sim,Sim,Usados,15 000        EUR,8089996483,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-0-tce-eco-g-comfort-bi-fuel-ID8PuNEf.html,1.0 TCe ECO-G Comfort Bi-Fuel,,Tracção dianteira,,,"8,60 l/100km",145 g/km,1,,,"6,30 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Renault,Mégane,Diesel,Abril,2018,115 000 km,1 461 cm3,110 cv,,,Utilitário,Cinzento,,Manual,,5,,,,,,,,Usados,14 000        EUR,8089677350,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-zen-ID8PtsCV.html,1.5 dCi Zen,,,,,"4,20 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,New Beetle,Diesel,Setembro,2012,132 000 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,3,4,Classe 1,18 Meses,Importado,Sim,Sim,Sim,Usados,14 990        EUR,8090145397,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-new-beetle-1-6-tdi-design-ID8Pwqo5.html,1.6 TDi Design,,Tracção dianteira,,Sim,,119 g/km,,,,,01/09/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,BMW,118,Diesel,Outubro,2011,243 000 km,1 995 cm3,143 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,6,3,,,18 Meses,,Sim,Sim,Sim,Usados,13 990        EUR,8090308636,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-sport-line-ID8Pv6QY.html,d Sport Line,,Tracção traseira,,Sim,"5,40 l/100km",,,,,,,,Série 1,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Zoe,Eléctrico,Junho,2013,64 500 km,,88 cv,Sim,Sim,Citadino,Branco,,Automática,,5,5,Classe 1,18 Meses,Importado,,,Sim,Usados,7 990        EUR,8090539863,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-life-ID8Px50r.html,Life,,Tracção dianteira,,,,,,,,,,,,,,,170 km,22 kWh,Aluguer,,,,StandVirtual,Yes,2023-09-15
Particular,SEAT,Ibiza,Diesel,Fevereiro,2012,174 500 km,1 199 cm3,75 cv,,,Citadino,Branco,,Manual,5,5,5,Classe 1,,,,,Sim,Usados,6 700        EUR,8089557343,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tdi-cr-style-salsa-ID8PsXpl.html,1.2 TDI CR Style Salsa,,Tracção dianteira,,Sim,"4,60 l/100km",99 g/km,,,,"3,30 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Diesel,Fevereiro,2017,52 000 km,1 461 cm3,75 cv,,,Citadino,Cinzento,,Manual,5,5,,,36 Meses,,,,,Usados,14 750        EUR,8090607630,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-confort-ID8PxmDs.html,1.5 dCi Confort,,Tracção dianteira,,,"3,50 l/100km",85 g/km,,,,"3,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,MINI,One,Diesel,Agosto,2014,206 000 km,1 496 cm3,95 cv,Sim,,Citadino,Amarelo,Metalizado,Manual,,3,4,Classe 1,18 Meses,,,Sim,Sim,Usados,13 500        EUR,8087884111,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PlV7J.html,D,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,MINI,Cooper,Diesel,Fevereiro,2013,136 000 km,1 598 cm3,112 cv,Sim,Sim,Citadino,Castanho,Metalizado,Manual,,3,4,Classe 1,18 Meses,,,Sim,Sim,Usados,13 200        EUR,8086528057,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PgflT.html,D,,,,,"4,20 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Hyundai,i40,Diesel,Junho,2014,147 875 km,1 685 cm3,115 cv,Sim,,Carrinha,Prateado,,Manual,,5,5,Classe 1,18 Meses,,,Sim,Sim,Usados,13 900        EUR,8090607626,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i40-ID8PxmDo.html,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Opel,Astra Sports Tourer,Diesel,Março,2011,212 089 km,1 248 cm3,95 cv,Sim,,Carrinha,Cinzento,Metalizado,Manual,6,5,5,,18 Meses,Importado,,,Sim,Usados,8 450        EUR,8090539860,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-3-cdti-selection-s-s-ID8Px50o.html,1.3 CDTi Selection S/S,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,500C,Diesel,Abril,2013,26 000 km,1 248 cm3,95 cv,,,Cabrio,Branco,,Manual,,3,4,Classe 1,18 Meses,Nacional,,,Sim,Usados,14 900        EUR,8090539842,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-ID8Px506.html,,,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Ford,Fiesta,Diesel,Junho,2018,129 600 km,1 499 cm3,95 cv,Sim,Sim,Citadino,Laranja,Metalizado,Manual,6,5,5,,18 Meses,,Sim,Sim,Sim,Usados,12 999        EUR,8088771365,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-titanium-ID8PpEVh.html,1.5 TDCi Titanium,,Tracção dianteira,,Sim,"4,40 l/100km",,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,308,Gasolina,Março,2014,102 000 km,1 199 cm3,82 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,18 Meses,,,Sim,Sim,Usados,12 700        EUR,8088120682,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-vti-active-ID8PmWFo.html,1.2 VTi Active,,,,,"6,30 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Nissan,X-Trail,Diesel,Setembro,2014,151 000 km,1 598 cm3,130 cv,,,SUV / TT,Castanho,Metalizado,Automática,7,5,7,Classe 1,,Nacional,Sim,Sim,Sim,Usados,18 999        EUR,8090583727,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-x-trail-1-6-dci-tekna-xtronic-ID8PxgpW.html,1.6 dCi Tekna Xtronic,,Tracção dianteira,,,6 l/100km,139 g/km,,,,"4,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,BMW,318,Diesel,Maio,2019,66 687 km,1 995 cm3,150 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,,,Sim,Usados,25 490        EUR,8090192135,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-ID8PwCxW.html,d Touring,Sim,,,,,,,,,,,,Série 3,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,Tipo Station Wagon,Diesel,Março,2019,77 000 km,1 248 cm3,95 cv,Sim,Sim,Carrinha,Cinzento,,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,Sim,Usados,15 750        EUR,8088242551,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-j17-ID8Pnrn1.html,1.3 M-Jet Lounge J17,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Audi,A1 Sportback,Gasolina,Janeiro,2023,19 721 km,999 cm3,95 cv,,,Citadino,Cinzento,,Manual,,5,5,,36 Meses,Nacional,,,,Usados,20 990        EUR,8090585622,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-25-tfsi-advanced-ID8PxgUu.html,25 TFSI Advanced,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Renault,Kadjar,Diesel,Dezembro,2019,71 000 km,1 461 cm3,115 cv,,,SUV / TT,Azul,,Manual,6,5,5,,,,,,,Usados,21 800        EUR,8090515915,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-kadjar-1-5-dci-intens-ID8PvYMb.html,1.5 dCi Intens,,Tracção dianteira,,,"4,90 l/100km",137 g/km,,,,4 l/100km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Jeep,Renegade,Gasolina,Julho,2019,38 073 km,999 cm3,120 cv,,,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,Nacional,Sim,Sim,Sim,Usados,19 990        EUR,8090192168,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jeep-renegade-1-0-t-limited-ID8PwCys.html,1.0 T Limited,Sim,Tracção dianteira,,,"6,50 l/100km",146 g/km,1,,,"5,50 l/100km",15/07/2025,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Alfa Romeo,Giulietta,Diesel,Julho,2018,130 000 km,1 598 cm3,120 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,Sim,Usados,17 750        EUR,8090266335,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulietta-1-6-jtdm-ID8PwWQH.html,1.6 JTDm,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,RCZ,Gasolina,Março,2011,91 018 km,1 598 cm3,156 cv,Sim,,Coupé,Branco,Metalizado,Manual,6,2,4,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,17 000        EUR,8090540448,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-rcz-1-6-thp-ID8Px59S.html,1.6 THP,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,SEAT,Leon ST,Diesel,Abril,2018,156 834 km,1 598 cm3,115 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Nacional,Sim,,Sim,Usados,15 450        EUR,8089822553,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-xcellence-s-s-ID8Pu4oW.html,1.6 TDI Xcellence S/S,,Tracção dianteira,,,"4,80 l/100km",129 g/km,,,,"3,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Mégane Sport Tourer,Diesel,Abril,2016,64 400 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Importado,Sim,,Sim,Usados,16 400        EUR,8089989237,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-energy-dci-110-intens-ID8PuLLn.html,ENERGY dCi 110 INTENS,,Tracção dianteira,,Sim,"4,20 l/100km",95 g/km,2,,,"3,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,BMW,320 Gran Turismo,Diesel,Novembro,2016,115 332 km,1 995 cm3,190 cv,Sim,,Sedan,Preto,Metalizado,Automática,,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,29 000        EUR,8090608345,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-gran-turismo-d-auto-pack-m-ID8PxmOZ.html,d Auto Pack M,,,,Sim,,,1,,,,,,Série 3,,,,,,,,,,StandVirtual,Yes,2023-09-15
